Vorname,Anzahl
Emma,361
Mia,356
Sofia,318
Emilia,292
Lina,289
Elena,280
Mila,267
Nora,258
Malea,249
Lia,230
Olivia,230
Ella,222
Anna,219
Giulia,219
Alice,218
Lea,218
Alina,212
Lena,212
Nina,210
Chiara,208
Lara,208
Luna,195
Leonie,194
Elina,193
Sophia,192
Yara,186
Julia,185
Laura,182
Elin,178
Valentina,176
Sara,175
Emily,170
Aurora,168
Amelia,167
Luana,166
Sophie,165
Livia,151
Elisa,143
Eva,141
Juna,141
Zoé,138
Mara,133
Victoria,131
Jana,129
Ronja,128
Lou,127
Maria,127
Ava,126
Charlotte,124
Alma,123
Malia,123
Amélie,121
Melina,119
Clara,118
Luisa,118
Noemi,114
Fiona,112
Hanna,112
Yuna,109
Ayla,108
Alea,107
Hana,107
Diana,103
Alba,100
Alicia,100
Dua,98
Liana,97
Amelie,96
Liv,95
Louise,95
Mira,95
Elea,94
Maya,93
Chloé,91
Leana,91
Zoe,91
Lynn,89
Ellie,88
Arya,85
Lorena,85
Stella,85
Amina,83
Lisa,83
Melissa,81
Alessia,80
Milena,80
Amira,79
Léa,79
Anouk,78
Helena,78
Inaya,77
Leni,76
Aline,75
Amalia,74
Aria,74
Aurelia,74
Ida,74
Paula,74
Jael,73
Naomi,73
Matilde,71
Ariana,69
Camille,68
Jade,68
Romy,67
Eliana,66
Mina,66
Mayla,65
Selina,65
Iris,64
Lily,64
Sarah,63
Thea,63
Jara,62
Louisa,61
Noelia,61
Ana,60
Eline,60
Hannah,60
Julie,59
Alya,58
Amaya,58
Ela,58
Elodie,58
Enya,57
Lilly,57
Lucy,57
Neyla,57
Sina,57
Valeria,57
Carla,56
Léonie,56
Klea,55
Leandra,55
Matilda,55
Tara,55
Alena,54
Hailey,54
Leyla,54
Malina,54
Nayla,54
Gianna,53
Johanna,53
Marie,53
Amy,52
Aylin,52
Inara,52
Liara,52
Lucie,52
Sienna,52
Ema,51
Isabella,51
Lana,51
Angelina,50
Ayana,50
Léna,50
Lyana,50
Juliette,49
Liya,49
Lya,49
Malin,49
Finja,48
Maja,48
Yael,48
Gaia,47
Emilie,46
Freya,46
Margaux,46
Neva,46
Bianca,45
Leona,45
Mathilde,45
Mona,45
Elise,44
Ladina,44
Leya,44
Ajla,43
Anastasia,43
Linda,43
Malou,41
Marina,41
Kiara,40
Kira,40
Amanda,39
Aya,39
Bora,39
Dalia,39
Solea,39
Viola,39
Alexandra,38
Alix,38
Gioia,38
Leonor,38
Vivienne,38
Aleyna,37
Cataleya,37
Samira,37
Alyssa,36
Chloe,36
Kayla,36
