"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"1",1,"Aeugst am Albis",14,0.7,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frei $/td£ $td£ 14 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 14 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Weiss $/td£ $td£ 14 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Keller $/td£ $td£ 13 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Steiner $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£¢ $/table£"
"2",2,"Affoltern am Albis",77,0.62,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schneebeli $/td£ $td£ 77 $/td£  $td£ 0.62% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 68 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Krasniqi $/td£ $td£ 66 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Shala $/td£ $td£ 57 $/td£  $td£ 0.46% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 56 $/td£  $td£ 0.45% $/td£ $/tr£¢ $/table£"
"3",3,"Bonstetten",54,0.96,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 54 $/td£  $td£ 0.96% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 50 $/td£  $td£ 0.89% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 32 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Fischer $/td£ $td£ 28 $/td£  $td£ 0.5% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Glättli $/td£ $td£ 26 $/td£  $td£ 0.46% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 26 $/td£  $td£ 0.46% $/td£ $/tr£¢ $/table£"
"4",4,"Hausen am Albis",40,1.04,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 40 $/td£  $td£ 1.04% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 38 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Baumann $/td£ $td£ 26 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 22 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Widmer $/td£ $td£ 22 $/td£  $td£ 0.57% $/td£ $/tr£¢ $/table£"
"5",5,"Hedingen",27,0.71,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schmid $/td£ $td£ 27 $/td£  $td£ 0.71% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spillmann $/td£ $td£ 24 $/td£  $td£ 0.63% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 19 $/td£  $td£ 0.5% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Baumann $/td£ $td£ 18 $/td£  $td£ 0.48% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 18 $/td£  $td£ 0.48% $/td£ $/tr£¢ $/table£"
"6",6,"Kappel am Albis",24,1.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 24 $/td£  $td£ 1.86% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Berger $/td£ $td£ 16 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneebeli $/td£ $td£ 16 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steinmann $/td£ $td£ 16 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Vollenweider $/td£ $td£ 14 $/td£  $td£ 1.09% $/td£ $/tr£¢ $/table£"
"7",7,"Knonau",23,0.94,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 23 $/td£  $td£ 0.94% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bucher $/td£ $td£ 18 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Iten $/td£ $td£ 16 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumgartner $/td£ $td£ 14 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Häfliger $/td£ $td£ 14 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 14 $/td£  $td£ 0.57% $/td£ $/tr£
¢ $/table£"
"8",8,"Maschwanden",22,3.43,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Studer $/td£ $td£ 22 $/td£  $td£ 3.43% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Künzi $/td£ $td£ 12 $/td£  $td£ 1.87% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Frei $/td£ $td£ 11 $/td£  $td£ 1.72% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wetli $/td£ $td£ 11 $/td£  $td£ 1.72% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maurer $/td£ $td£ 10 $/td£  $td£ 1.56% $/td£ $/tr£¢ $/table£"
"9",9,"Mettmenstetten",67,1.2,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 67 $/td£  $td£ 1.2% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Suter $/td£ $td£ 57 $/td£  $td£ 1.02% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 38 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 38 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 37 $/td£  $td£ 0.66% $/td£ $/tr£¢ $/table£"
"10",10,"Obfelden",55,0.95,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 55 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 42 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Häberling $/td£ $td£ 39 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Huber $/td£ $td£ 37 $/td£  $td£ 0.64% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 36 $/td£  $td£ 0.63% $/td£ $/tr£¢ $/table£"
