Prénom,Total
Noah,540
Liam,428
Matteo,353
Leon,293
Luca,291
Gabriel,286
Elias,281
Leo,256
Louis,251
Leano,242
Lio,233
Leonardo,224
Lian,210
Nino,208
Elio,205
Julian,201
Aaron,199
Nico,197
Elia,196
Levi,196
Samuel,191
Finn,184
Malik,177
Luan,176
David,174
Leandro,174
Mattia,169
Diego,168
Milo,168
Adam,157
Ben,156
Levin,155
Dario,152
Nael,152
Arthur,151
Noé,151
Jonas,150
Lenny,150
Mateo,149
Livio,148
Lucas,145
Robin,144
Enea,138
Nathan,137
Kian,136
Nelio,134
Mael,128
Tim,127
Theo,126
Enzo,123
Laurin,123
Alessio,121
Max,121
Emil,120
Nevio,114
Alexander,113
Emilio,111
Luis,111
Rafael,111
Felix,110
Jan,110
Loris,109
Oliver,109
Lino,108
Léon,104
Lukas,104
Henry,103
Rayan,102
Maël,101
Benjamin,100
Fabio,100
Kilian,100
Luka,100
Aron,99
Gian,99
Léo,99
Paul,99
Daniel,98
Santiago,98
Valentin,97
Alessandro,95
Ethan,92
Lars,92
Isaac,91
Romeo,91
Thomas,91
Adrian,90
Lorenzo,90
Nils,90
Noel,90
William,90
Jaron,89
Mauro,89
Timo,88
Andrin,86
Jules,84
Simon,84
Théo,84
Nolan,82
Linus,80
Evan,79
Hugo,79
Lionel,78
Damian,77
Raphael,77
Ryan,77
James,76
Marco,74
Mathis,73
Joel,71
Marlon,70
Nicolas,70
Henri,69
Jamie,69
Jayden,69
Martin,69
Jaro,68
Tom,68
Eden,67
Lean,66
Maximilian,66
Milan,66
Dylan,65
Jason,65
Manuel,64
Fynn,63
Ari,62
Arian,62
Aurelio,62
Colin,62
Amar,61
Maxime,61
Amir,60
Alexis,59
Aurel,58
Jonah,58
Louie,58
Moritz,58
Ilay,57
Mathias,57
Jon,56
Noar,56
Oscar,56
Victor,56
Vincent,56
Janis,55
Jari,55
Alex,54
Logan,54
Neo,54
Nick,54
Noa,54
Pablo,54
Eliott,53
Joshua,53
Ali,52
Loan,51
Mika,51
Raphaël,51
Lion,50
Ruben,50
Tiago,50
Ayden,49
Sebastian,49
Jonathan,48
Lior,48
Miro,48
Oskar,48
Christian,47
Maxim,47
Naël,47
Nando,47
Zayn,47
Ajan,46
Alexandre,46
Carlo,46
Juri,46
Lorik,46
Silas,46
Axel,45
Jakob,45
Marius,45
Noe,45
Ayan,44
Bryan,44
Ennio,44
Hamza,44
Lyam,44
Miran,44
Silvan,44
Charlie,43
Elijah,43
Ezra,43
Filip,43
Gino,43
Ilyas,43
Michael,43
Valentino,43
Yann,43
Danilo,42
